"act","time_range","stage","day","start_time","end_time","date","act_name_short","act_order","index","time_position","datetime"
"DIANA ROSS","16:00 - 17:15","PYRAMID STAGE","SUNDAY","16:00","17:15",2022-07-03,"DIANA ROSS",4,18,"start_datetime",2022-07-03 16:00:00
"DIANA ROSS","16:00 - 17:15","PYRAMID STAGE","SUNDAY","16:00","17:15",2022-07-03,"DIANA ROSS",4,18,"end_datetime",2022-07-03 17:15:00
"ELBOW","17:45 - 18:45","PYRAMID STAGE","SUNDAY","17:45","18:45",2022-07-03,"ELBOW",5,19,"start_datetime",2022-07-03 17:45:00
"ELBOW","17:45 - 18:45","PYRAMID STAGE","SUNDAY","17:45","18:45",2022-07-03,"ELBOW",5,19,"end_datetime",2022-07-03 18:45:00
"LORDE","19:30 - 20:45","PYRAMID STAGE","SUNDAY","19:30","20:45",2022-07-03,"LORDE",6,20,"start_datetime",2022-07-03 19:30:00
"LORDE","19:30 - 20:45","PYRAMID STAGE","SUNDAY","19:30","20:45",2022-07-03,"LORDE",6,20,"end_datetime",2022-07-03 20:45:00
"KENDRICK LAMAR","21:45 - 23:15","PYRAMID STAGE","SUNDAY","21:45","23:15",2022-07-03,"KENDRICK LAMAR",7,21,"start_datetime",2022-07-03 21:45:00
"KENDRICK LAMAR","21:45 - 23:15","PYRAMID STAGE","SUNDAY","21:45","23:15",2022-07-03,"KENDRICK LAMAR",7,21,"end_datetime",2022-07-03 23:15:00
"THE LIBERTINES","11:30 - 12:30","OTHER STAGE","FRIDAY","11:30","12:30",2022-07-01,"THE LIBERTINES",1,22,"start_datetime",2022-07-01 11:30:00
"THE LIBERTINES","11:30 - 12:30","OTHER STAGE","FRIDAY","11:30","12:30",2022-07-01,"THE LIBERTINES",1,22,"end_datetime",2022-07-01 12:30:00
"KAE TEMPEST","13:00 - 13:45","OTHER STAGE","FRIDAY","13:00","13:45",2022-07-01,"KAE TEMPEST",2,23,"start_datetime",2022-07-01 13:00:00
"KAE TEMPEST","13:00 - 13:45","OTHER STAGE","FRIDAY","13:00","13:45",2022-07-01,"KAE TEMPEST",2,23,"end_datetime",2022-07-01 13:45:00
"BLOSSOMS","14:15 - 15:15","OTHER STAGE","FRIDAY","14:15","15:15",2022-07-01,"BLOSSOMS",3,24,"start_datetime",2022-07-01 14:15:00
"BLOSSOMS","14:15 - 15:15","OTHER STAGE","FRIDAY","14:15","15:15",2022-07-01,"BLOSSOMS",3,24,"end_datetime",2022-07-01 15:15:00
"FIRST AID KIT","15:45 - 16:45","OTHER STAGE","FRIDAY","15:45","16:45",2022-07-01,"FIRST AID KIT",4,25,"start_datetime",2022-07-01 15:45:00
"FIRST AID KIT","15:45 - 16:45","OTHER STAGE","FRIDAY","15:45","16:45",2022-07-01,"FIRST AID KIT",4,25,"end_datetime",2022-07-01 16:45:00
"SUPERGRASS","17:15 - 18:15","OTHER STAGE","FRIDAY","17:15","18:15",2022-07-01,"SUPERGRASS",5,26,"start_datetime",2022-07-01 17:15:00
"SUPERGRASS","17:15 - 18:15","OTHER STAGE","FRIDAY","17:15","18:15",2022-07-01,"SUPERGRASS",5,26,"end_datetime",2022-07-01 18:15:00
"IDLES","18:45 - 19:45","OTHER STAGE","FRIDAY","18:45","19:45",2022-07-01,"IDLES",6,27,"start_datetime",2022-07-01 18:45:00
"IDLES","18:45 - 19:45","OTHER STAGE","FRIDAY","18:45","19:45",2022-07-01,"IDLES",6,27,"end_datetime",2022-07-01 19:45:00
"ST. VINCENT","20:30 - 21:30","OTHER STAGE","FRIDAY","20:30","21:30",2022-07-01,"ST. VINCENT",7,28,"start_datetime",2022-07-01 20:30:00
"ST. VINCENT","20:30 - 21:30","OTHER STAGE","FRIDAY","20:30","21:30",2022-07-01,"ST. VINCENT",7,28,"end_datetime",2022-07-01 21:30:00
"FOALS","22:30 - 23:45","OTHER STAGE","FRIDAY","22:30","23:45",2022-07-01,"FOALS",8,29,"start_datetime",2022-07-01 22:30:00
"FOALS","22:30 - 23:45","OTHER STAGE","FRIDAY","22:30","23:45",2022-07-01,"FOALS",8,29,"end_datetime",2022-07-01 23:45:00
"HAK BAKER","11:45 - 12:30","OTHER STAGE","SATURDAY","11:45","12:30",2022-07-02,"HAK BAKER",1,30,"start_datetime",2022-07-02 11:45:00
"HAK BAKER","11:45 - 12:30","OTHER STAGE","SATURDAY","11:45","12:30",2022-07-02,"HAK BAKER",1,30,"end_datetime",2022-07-02 12:30:00
"TEMS","13:00 - 13:45","OTHER STAGE","SATURDAY","13:00","13:45",2022-07-02,"TEMS",2,31,"start_datetime",2022-07-02 13:00:00
"TEMS","13:00 - 13:45","OTHER STAGE","SATURDAY","13:00","13:45",2022-07-02,"TEMS",2,31,"end_datetime",2022-07-02 13:45:00
"SKUNK ANANSIE","14:15 - 15:15","OTHER STAGE","SATURDAY","14:15","15:15",2022-07-02,"SKUNK ANANSIE",3,32,"start_datetime",2022-07-02 14:15:00
"SKUNK ANANSIE","14:15 - 15:15","OTHER STAGE","SATURDAY","14:15","15:15",2022-07-02,"SKUNK ANANSIE",3,32,"end_datetime",2022-07-02 15:15:00
"METRONOMY","15:45 - 16:45","OTHER STAGE","SATURDAY","15:45","16:45",2022-07-02,"METRONOMY",4,33,"start_datetime",2022-07-02 15:45:00
"METRONOMY","15:45 - 16:45","OTHER STAGE","SATURDAY","15:45","16:45",2022-07-02,"METRONOMY",4,33,"end_datetime",2022-07-02 16:45:00
"GLASS ANIMALS","17:15 - 18:15","OTHER STAGE","SATURDAY","17:15","18:15",2022-07-02,"GLASS ANIMALS",5,34,"start_datetime",2022-07-02 17:15:00
"GLASS ANIMALS","17:15 - 18:15","OTHER STAGE","SATURDAY","17:15","18:15",2022-07-02,"GLASS ANIMALS",5,34,"end_datetime",2022-07-02 18:15:00
"OLIVIA RODRIGO","18:45 - 19:45","OTHER STAGE","SATURDAY","18:45","19:45",2022-07-02,"OLIVIA RODRIGO",6,35,"start_datetime",2022-07-02 18:45:00
"OLIVIA RODRIGO","18:45 - 19:45","OTHER STAGE","SATURDAY","18:45","19:45",2022-07-02,"OLIVIA RODRIGO",6,35,"end_datetime",2022-07-02 19:45:00
"BURNA BOY","20:30 - 21:30","OTHER STAGE","SATURDAY","20:30","21:30",2022-07-02,"BURNA BOY",7,36,"start_datetime",2022-07-02 20:30:00
"BURNA BOY","20:30 - 21:30","OTHER STAGE","SATURDAY","20:30","21:30",2022-07-02,"BURNA BOY",7,36,"end_datetime",2022-07-02 21:30:00
"MEGAN THEE STALLION","22:30 - 23:30","OTHER STAGE","SATURDAY","22:30","23:30",2022-07-02,"MEGAN THEE STALLION",8,37,"start_datetime",2022-07-02 22:30:00
"MEGAN THEE STALLION","22:30 - 23:30","OTHER STAGE","SATURDAY","22:30","23:30",2022-07-02,"MEGAN THEE STALLION",8,37,"end_datetime",2022-07-02 23:30:00
"KOJEY RADICAL","11:00 - 11:45","OTHER STAGE","SUNDAY","11:00","11:45",2022-07-03,"KOJEY RADICAL",1,38,"start_datetime",2022-07-03 11:00:00
"KOJEY RADICAL","11:00 - 11:45","OTHER STAGE","SUNDAY","11:00","11:45",2022-07-03,"KOJEY RADICAL",1,38,"end_datetime",2022-07-03 11:45:00
"SEA GIRLS","12:15 - 13:00","OTHER STAGE","SUNDAY","12:15","13:00",2022-07-03,"SEA GIRLS",2,39,"start_datetime",2022-07-03 12:15:00
"SEA GIRLS","12:15 - 13:00","OTHER STAGE","SUNDAY","12:15","13:00",2022-07-03,"SEA GIRLS",2,39,"end_datetime",2022-07-03 13:00:00
"LIANNE LA HAVAS","13:30 - 14:30","OTHER STAGE","SUNDAY","13:30","14:30",2022-07-03,"LIANNE LA HAVAS",3,40,"start_datetime",2022-07-03 13:30:00
"LIANNE LA HAVAS","13:30 - 14:30","OTHER STAGE","SUNDAY","13:30","14:30",2022-07-03,"LIANNE LA HAVAS",3,40,"end_datetime",2022-07-03 14:30:00
"DECLAN MCKENNA","15:00 - 16:00","OTHER STAGE","SUNDAY","15:00","16:00",2022-07-03,"DECLAN MCKENNA",4,41,"start_datetime",2022-07-03 15:00:00
"DECLAN MCKENNA","15:00 - 16:00","OTHER STAGE","SUNDAY","15:00","16:00",2022-07-03,"DECLAN MCKENNA",4,41,"end_datetime",2022-07-03 16:00:00
"FONTAINES DC","16:30 - 17:30","OTHER STAGE","SUNDAY","16:30","17:30",2022-07-03,"FONTAINES DC",5,42,"start_datetime",2022-07-03 16:30:00
"FONTAINES DC","16:30 - 17:30","OTHER STAGE","SUNDAY","16:30","17:30",2022-07-03,"FONTAINES DC",5,42,"end_datetime",2022-07-03 17:30:00
"KACEY MUSGRAVES","18:00 - 19:00","OTHER STAGE","SUNDAY","18:00","19:00",2022-07-03,"KACEY MUSGRAVES",6,43,"start_datetime",2022-07-03 18:00:00
"KACEY MUSGRAVES","18:00 - 19:00","OTHER STAGE","SUNDAY","18:00","19:00",2022-07-03,"KACEY MUSGRAVES",6,43,"end_datetime",2022-07-03 19:00:00
"YEARS & YEARS","19:45 - 20:45","OTHER STAGE","SUNDAY","19:45","20:45",2022-07-03,"YEARS & YEARS",7,44,"start_datetime",2022-07-03 19:45:00
"YEARS & YEARS","19:45 - 20:45","OTHER STAGE","SUNDAY","19:45","20:45",2022-07-03,"YEARS & YEARS",7,44,"end_datetime",2022-07-03 20:45:00
"PET SHOP BOYS","21:40 - 23:15","OTHER STAGE","SUNDAY","21:40","23:15",2022-07-03,"PET SHOP BOYS",8,45,"start_datetime",2022-07-03 21:40:00
"PET SHOP BOYS","21:40 - 23:15","OTHER STAGE","SUNDAY","21:40","23:15",2022-07-03,"PET SHOP BOYS",8,45,"end_datetime",2022-07-03 23:15:00
"NUBIYAN TWIST","11:30 - 12:30","WEST HOLTS STAGE","FRIDAY","11:30","12:30",2022-07-01,"NUBIYAN TWIST",1,46,"start_datetime",2022-07-01 11:30:00
"NUBIYAN TWIST","11:30 - 12:30","WEST HOLTS STAGE","FRIDAY","11:30","12:30",2022-07-01,"NUBIYAN TWIST",1,46,"end_datetime",2022-07-01 12:30:00
"AROOJ AFTAB","13:00 - 14:00","WEST HOLTS STAGE","FRIDAY","13:00","14:00",2022-07-01,"AROOJ AFTAB",2,47,"start_datetime",2022-07-01 13:00:00
"AROOJ AFTAB","13:00 - 14:00","WEST HOLTS STAGE","FRIDAY","13:00","14:00",2022-07-01,"AROOJ AFTAB",2,47,"end_datetime",2022-07-01 14:00:00
"GREENTEA PENG","14:30 - 15:30","WEST HOLTS STAGE","FRIDAY","14:30","15:30",2022-07-01,"GREENTEA PENG",3,48,"start_datetime",2022-07-01 14:30:00
"GREENTEA PENG","14:30 - 15:30","WEST HOLTS STAGE","FRIDAY","14:30","15:30",2022-07-01,"GREENTEA PENG",3,48,"end_datetime",2022-07-01 15:30:00
"SLEAFORD MODS","16:00 - 17:00","WEST HOLTS STAGE","FRIDAY","16:00","17:00",2022-07-01,"SLEAFORD MODS",4,49,"start_datetime",2022-07-01 16:00:00
"SLEAFORD MODS","16:00 - 17:00","WEST HOLTS STAGE","FRIDAY","16:00","17:00",2022-07-01,"SLEAFORD MODS",4,49,"end_datetime",2022-07-01 17:00:00
"TLC","17:30 - 18:30","WEST HOLTS STAGE","FRIDAY","17:30","18:30",2022-07-01,"TLC",5,50,"start_datetime",2022-07-01 17:30:00
"TLC","17:30 - 18:30","WEST HOLTS STAGE","FRIDAY","17:30","18:30",2022-07-01,"TLC",5,50,"end_datetime",2022-07-01 18:30:00
"SEUN KUTI & EGYPT 80","19:00 - 20:00","WEST HOLTS STAGE","FRIDAY","19:00","20:00",2022-07-01,"SEUN KUTI & EGYPT 80",6,51,"start_datetime",2022-07-01 19:00:00
"SEUN KUTI & EGYPT 80","19:00 - 20:00","WEST HOLTS STAGE","FRIDAY","19:00","20:00",2022-07-01,"SEUN KUTI & EGYPT 80",6,51,"end_datetime",2022-07-01 20:00:00
"BONOBO","20:30 - 21:30","WEST HOLTS STAGE","FRIDAY","20:30","21:30",2022-07-01,"BONOBO",7,52,"start_datetime",2022-07-01 20:30:00
"BONOBO","20:30 - 21:30","WEST HOLTS STAGE","FRIDAY","20:30","21:30",2022-07-01,"BONOBO",7,52,"end_datetime",2022-07-01 21:30:00
"LITTLE SIMZ","22:15 - 23:45","WEST HOLTS STAGE","FRIDAY","22:15","23:45",2022-07-01,"LITTLE SIMZ",8,53,"start_datetime",2022-07-01 22:15:00
"LITTLE SIMZ","22:15 - 23:45","WEST HOLTS STAGE","FRIDAY","22:15","23:45",2022-07-01,"LITTLE SIMZ",8,53,"end_datetime",2022-07-01 23:45:00
"KIKAGAKU MOYO","11:30 - 12:30","WEST HOLTS STAGE","SATURDAY","11:30","12:30",2022-07-02,"KIKAGAKU MOYO",1,54,"start_datetime",2022-07-02 11:30:00
"KIKAGAKU MOYO","11:30 - 12:30","WEST HOLTS STAGE","SATURDAY","11:30","12:30",2022-07-02,"KIKAGAKU MOYO",1,54,"end_datetime",2022-07-02 12:30:00
